method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score
MambaIR,B100,4,296007.png,296007,/root/autodl-tmp/imageSR/B100/HR/296007.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/296007x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/296007x4_MambaIR.png,,480,320,4,30.76596008105909,0.7784386072528529,32.10008347393965,0.8077879147750341,0.4530400037765503,2.357421875
MambaIR,B100,4,296059.png,296059,/root/autodl-tmp/imageSR/B100/HR/296059.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/296059x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/296059x4_MambaIR.png,,480,320,4,30.19331107312189,0.7774814567259233,31.549307123179755,0.8038356254928088,0.33418557047843933,3.94140625
MambaIR,B100,4,299086.png,299086,/root/autodl-tmp/imageSR/B100/HR/299086.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/299086x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/299086x4_MambaIR.png,,480,320,4,30.62015882198814,0.800266793621028,31.995858971941047,0.8276744597612079,0.33180946111679077,2.716796875
MambaIR,B100,4,300091.png,300091,/root/autodl-tmp/imageSR/B100/HR/300091.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/300091x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/300091x4_MambaIR.png,,480,320,4,28.028864941106374,0.778983333436624,29.37358206267625,0.8034526143861187,0.30664581060409546,3.533203125
MambaIR,B100,4,302008.png,302008,/root/autodl-tmp/imageSR/B100/HR/302008.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/302008x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/302008x4_MambaIR.png,,320,480,4,33.73374776483749,0.9519717619310076,35.16225592261887,0.9595839389347296,0.09765738993883133,4.03125
MambaIR,B100,4,304034.png,304034,/root/autodl-tmp/imageSR/B100/HR/304034.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/304034x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/304034x4_MambaIR.png,,480,320,4,23.272116045716597,0.697430509887579,24.56827786418469,0.7190146819922997,0.38209760189056396,2.3828125
MambaIR,B100,4,304074.png,304074,/root/autodl-tmp/imageSR/B100/HR/304074.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/304074x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/304074x4_MambaIR.png,,320,480,4,24.916150202401013,0.635214952536423,26.249472750735983,0.6635655623873882,0.5200977325439453,3.060546875
MambaIR,B100,4,306005.png,306005,/root/autodl-tmp/imageSR/B100/HR/306005.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/306005x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/306005x4_MambaIR.png,,480,320,4,27.18709726371377,0.8030157956258078,28.567377159416267,0.819686108820631,0.32839295268058777,3.24609375
MambaIR,B100,4,3096.png,3096,/root/autodl-tmp/imageSR/B100/HR/3096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/3096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/3096x4_MambaIR.png,,480,320,4,39.76166272489509,0.9764221456856024,41.25367729440579,0.983402833888162,0.1092371940612793,3.11328125
MambaIR,B100,4,33039.png,33039,/root/autodl-tmp/imageSR/B100/HR/33039.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/33039x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/33039x4_MambaIR.png,,320,480,4,20.06903193134553,0.6450921501399591,21.38213963380656,0.6581092382645425,0.5095906257629395,2.259765625
MambaIR,B100,4,351093.png,351093,/root/autodl-tmp/imageSR/B100/HR/351093.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/351093x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/351093x4_MambaIR.png,,480,320,4,21.649561067387,0.66989525656588,22.95713297365405,0.6893614542396129,0.45762374997138977,2.51171875
MambaIR,B100,4,361010.png,361010,/root/autodl-tmp/imageSR/B100/HR/361010.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/361010x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/361010x4_MambaIR.png,,480,320,4,28.17704773512947,0.8089017706711772,29.50361801368761,0.8380220712071873,0.2287948727607727,2.818359375
MambaIR,B100,4,37073.png,37073,/root/autodl-tmp/imageSR/B100/HR/37073.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/37073x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/37073x4_MambaIR.png,,480,320,4,30.293906528220763,0.8176508038239172,31.64537264425821,0.8479476063064174,0.24352456629276276,3.80859375
MambaIR,B100,4,376043.png,376043,/root/autodl-tmp/imageSR/B100/HR/376043.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/376043x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/376043x4_MambaIR.png,,320,480,4,24.221754769731373,0.6245579612355957,25.5959285723782,0.639087597987184,0.470920205116272,2.208984375
