dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Manga109,3,TennenSenshiG.png,tennensenshig,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TennenSenshiG.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TennenSenshiG_LRBI_x3.png,,826,1170,3,19.62587595621556,0.7245250929547495,20.386273260440362,0.7497957046224198
Manga109,3,TensiNoHaneToAkumaNoShippo.png,tensinohanetoakumanoshippo,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TensiNoHaneToAkumaNoShippo.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TensiNoHaneToAkumaNoShippo_LRBI_x3.png,,826,1170,3,23.25542747463245,0.8051694272024351,23.895138601833548,0.8136397350689788
Manga109,3,TetsuSan.png,tetsusan,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TetsuSan.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TetsuSan_LRBI_x3.png,,826,1170,3,20.60697589263407,0.8669302938341992,21.342382796958294,0.8754439622975035
Manga109,3,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ThatsIzumiko_000_LRBI_x3.png,,826,1170,3,17.170811065801097,0.6228485870429306,18.129485784482526,0.6338991982844199
Manga109,3,TotteokiNoABC.png,totteokinoabc,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TotteokiNoABC.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TotteokiNoABC_LRBI_x3.png,,826,1170,3,26.211275083299633,0.8900855805950889,27.663868663409232,0.9035398318909714
Manga109,3,ToutaMairimasu.png,toutamairimasu,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ToutaMairimasu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ToutaMairimasu_LRBI_x3.png,,826,1170,3,20.867388996017084,0.7711652862251045,21.637153967398003,0.8000420809987915
Manga109,3,TouyouKidan.png,touyoukidan,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TouyouKidan.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TouyouKidan_LRBI_x3.png,,826,1170,3,22.562890998605077,0.804128683550673,23.378385006004464,0.8363570723836167
Manga109,3,TsubasaNoKioku.png,tsubasanokioku,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TsubasaNoKioku.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TsubasaNoKioku_LRBI_x3.png,,826,1170,3,28.112552153015066,0.820564812898556,29.21004563884165,0.8516081083711763
Manga109,3,UchiNoNyansDiary_000.png,uchinonyansdiary_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/UchiNoNyansDiary_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/UchiNoNyansDiary_000_LRBI_x3.png,,826,1170,3,22.043615516058047,0.876871891341693,22.689528259884053,0.8859168099834452
Manga109,3,UchuKigekiM774.png,uchukigekim774,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/UchuKigekiM774.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/UchuKigekiM774_LRBI_x3.png,,826,1170,3,22.756767402093317,0.6768392164741538,23.542685886604524,0.6990527943407155
